Tweet,sentiment
"RT @RamenCoin2018: The OFFICIAL @RamenCoin2018 Twitter #Airdrop ROUND 1 is LIVE!

Receive 500 $RAMEN for completing the tasks: https://t.co…",0
You believe it or not?              Jack Dorsey expects bitcoin to become the world's 'single currency' in about 10… https://t.co/oG7WFTfLSn,0
"RT @CoinsAirdrops: #Bitcoin #cryptocurrency  #Airdrop
New Airdrop #Tron 📢

Huobi Exchange Airdrop 80 TRON (#TRX) to grow their user base!
E…",0
Well done! https://t.co/eRkhv6PYjO,1
"Copy successful traders automatically with Bitcoin! 💰💰

I copy ""Dividend667"". Do you?

➡️ https://t.co/38LkK8JCZj… https://t.co/ZEJ6TCd86J",2
RT @DrDenaGrayson: @ericgeller Agree w/@ericgeller👉🏼likely signals #indictments of state-backed hackers. I believe that these hackers will…,1
@jayibang Coinurl The Smart Way To Monetize Your Content https://t.co/GkcITVjZV7 #advertising #bitcoin #freebitcoins https://t.co/0YuWwdga6p,1
"Bitcoin @ £6,496.51 | Ethereum @ £416.77 | Litecoin @ £126.30 | Buy it online with bank transfer at https://t.co/CkpCoazTdY",1
"RT @bethereumteam: To understand how conventional betting is increasingly depriving people of their money, we must first find out how bookm…",2
RT @tvtwocom: Our listing on @coingecko https://t.co/G5ZNbeY1Pw // #tvrevolution #crypto #cryptocurrencies #bitcoin #ethereum #blockchain #…,2
RT @lopp: @psycho_sage @naval Bitcoin is a game where everybody watches everybody else to make sure nobody cheats.,2
"Move your trading to the #1 crypto exchange today! 🚀

▶️ https://t.co/xRY3L8KheB  ◀️

#coinbase #Crypto #TRX… https://t.co/Z39CXqKUCj",1
"RT @insureum_zikto: hello, world.
are you ready for #ICO ?

https://t.co/mLboYZDVXC

#insureum #ico #bitcoin #Ethereum #cryptocurrency #Ins…",1
Get Free Bitcoin        https://t.co/VDJ9mFeqE6,2
RT @Blockchainlife: Playboy is launching its own #Cryptocurrency as part of an online payment wallet under development and will accept othe…,2
"RT @CoinsAirdrops: #Bitcoin #Satoshi #crypto #blockchain #Airdrop
Quantadex Exchange Giveaway 📢

Sign Up and Receive $250 free

💰💰💰$250 Wil…",2
RT @cryptopolitans: Bitcoin is on its way to be at 7k or lower in a couple of days. XRP can go to 0.51 #Btc #bitcoin #Crypto #XRP #Ripple,1
Wish your favorite PC game had a more informative heads up display https://t.co/zK6I6fABZH #Cybersecurity #Bitcoin https://t.co/df06sbe177,1
"RT @btccloud: Official Bitcoin Cloud #Airdrop 1

https://t.co/wyumnhGR49

Limited to 10,000 Members
Total Supply # 20M
4M Coins Will be Air…",0
"@Airdrop_Centre Bitcoin BTG(OFFICIAL) (BTG) is gaining best news also seemly other expensive, just Your still donТt… https://t.co/H58qBaTYjw",2
"RT @RandolphMlny: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
New Airdrop #Academicoin 📢

Academicoin is Airdropping…",2
"""This encounter led Roberto to conclude that the US government created Bitcoin and will one day crash the market"" 😛 https://t.co/idq0ZxpHek",2
"RT @Aruwba: Hurry Come see what's happening on my Premium snap RIGHT NOW!

🚨JOIN FOR ONLY $25 FOR LIFE🚨

⬇️Click here⬇️ 
https://t.co/nlE16…",2
HS and College students don’t you know #bitcoin is the only way to take over this bs? Quit hatin &amp; fighting over ti… https://t.co/mT25ZCEFpA,2
House spending bill restores funding for West Coast earthquake warning system The U.S. Geological Survey’s West Coa… https://t.co/KDFRFzcDUv,2
"RT @RandolphMlny: #Bitcoin #Satoshi #Earn_Money #cryptocurrency #blockchain #Airdrop
CAERUS EXCLUSIVE AIRDROP 📢

⭐⭐⭐⭐⭐ 5/5 stars- 💰worth $8…",1
Watching @PhilakoneCrypto 's 35 hours of trading tutorials for the second time. His trading tutorials are by far my… https://t.co/blGqVnAkE1,2
"RT @Crypto__Insider: ‼️‼️#Giveaway $200 in ETH‼️‼️
-Like👍
-Retweet✌️
-Follow👌
-DM me your address📩

#BTC #bitcoin #litecoin #ltc #ripple #x…",1
"@RamenCoin2018 New Airdrop Friends!
https://t.co/ftdGbOTJKZ
https://t.co/KqQddr4CrG
#RamenCoin $RAMEN #airdrop… https://t.co/wWHAZl2Kk8",2
"RT @muirfieldip: ""TAOs... offer enhanced safety for investors and accountability for the issuing firm."" - Tom Zaccagnino (@tomzaccagnino),…",0
"RT @Bitc2org: We are getting ready to announce Bitcoin 2 (https://t.co/m7KGBEGPKd), a scalable #BitcoinFork using a #ProofOfStake algorithm…",2
"6 Reasons Why Bitcoin is King of Cryptocurrencies
https://t.co/AH4NbZCpSx",1
"RT @CryptoVanessa: Good morning my lovely #Crypto Fam ♥️

today some Patterns for u 🙆🏻‍♀️
#DayTrading #SwingTrading #HODL

🙏🏻RE-TWEET to…",2
RT @GymRewards: https://t.co/Bm9sIxiiwU Checkout our #bitcointalk #ANN https://t.co/J5xnJJr7Sa #Gymrewards #tokenssale #ethereum #bitcoin #…,1
We are in a black swan environment. Centuries old wealth will be turned upside down. Take your advan... https://t.co/8VnY9Yhltq,1
"RT @neolite_token: $NEOLite #AIRDROP

Follow, Retweet &amp; TAG 5 people
Comment your ERC20 address 30,000,000 Supply
Token symbol: $NLT

(5,00…",1
START BITCOIN MINING       https://t.co/Na1gSBLlJY,1
"RT NickSzabo4 ""In particular, every full node watches every other full node (including watching the miners).  Robot… https://t.co/9G4qPwkHHL",2
RT @Deratti11: https://t.co/viY0UY7kLs get bitcoin per invite,2
BUY NOW ON https://t.co/X0tykmHXN6 #forex #trading #cryptocurrency #tech #visualmarketing #mining #btc #digital… https://t.co/KpSbzi1xkx,1
"#blockchain #btc #crypto #cryptocurrency #bitcoin #Ethereum #ETH 99
 The first blockchain platform to power sports… https://t.co/gzvK12uZV5",2
Snowden on Bitcoin: Blasts Public Ledger and Core Developers https://t.co/Zy2LJaaIMK,1
So @rocketman_ai  you like #Bitcoin &amp; #Crypto Cool 👍🏻 Great to connect RocketMan much appreciated,2
"@_Kevin_Pham how much did you invest to mine Bitcoin, Kevin ?",1
Bitcoin Returns Above $9K But 'Death Cross' Still a Risk #Bitcoin #Markets #Prices https://t.co/cOgKJ8tYmC,1
"Name: Blocktix
Symbol: TIX
24 hour change: -7.37%
Price: 0.362015
Rank: 361
Total Supply: 62500000.0
Volume: 101595… https://t.co/foZ4KLqx0y",0
"RT @WealthE_Coin: As the crypto community grows bigger, government acceptance and regulation will be a big talking point.  Check out this v…",1
"RT @DrDenaGrayson: 🔥The US Attorney General for Southern District of NY also will attend.

LOTS of *banks* in SDNY. Just sayin'.😎

https://…",2
